,Unnamed: 0,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,AR,ME_7,ME_14,ME_21,ME_28,RANK_7,RANK_14,RANK_21,RANK_28,VAR_7,VAR_14,VAR_21,VAR_28,SMA_7,SMA_14,SMA_21,SMA_28,SD_7,SD_14,SD_21,SD_28,Ske_7,Ske_14,Ske_21,Ske_28,Kur_7,Kur_14,Kur_21,Kur_28
68,68,19166.0,20148.0,19166.0,20148.0,126200,2007-03-28,982.0,-982.0,-1.0,21208.0,21934.5,22779.0,23604.0,1.5,1.5,1.5,1.5,619204.8095237241,1556116.1538460965,2329548.799999991,2425456.3703703578,21168.85714285714,22106.0,22856.0,23217.0,786.8956789331888,1247.4438479731648,1526.2859496175647,1557.3876750412396,-0.43061815481101823,-0.030999758285539986,-0.2447370908114403,-0.3333662697491381,-1.566722234973205,-0.8056394071804113,-0.8794435412298973,-0.5220263085419409
69,69,20148.0,21130.0,20148.0,21130.0,117350,2007-03-29,982.0,-982.0,-1.0,21130.0,21797.0,22701.0,23604.0,4.0,4.0,4.0,4.0,462384.23809515446,1433068.379120823,2252790.3619047506,2567353.8888888774,21034.285714285714,21932.071428571428,22680.190476190477,23166.5,679.9884102653181,1197.1083405944605,1500.9298324387955,1602.2964422630655,-0.37021154892117003,0.2661897489409105,-0.07532887594699154,-0.28943580902839033,-1.226941814078615,-0.4692788162513083,-0.9325387502779098,-0.7456090469228502
70,70,21523.0,21601.0,21248.0,21248.0,90460,2007-03-30,353.0,275.0,1.2836363636363637,21208.0,21718.5,22701.0,23565.0,5.0,6.0,6.0,6.0,468587.66666658246,1112990.5769230223,2226636.3619047487,2687677.2949735345,21068.0,21738.5,22541.809523809523,23080.964285714286,684.5346351110238,1054.9836856193665,1492.1917979618936,1639.4137046436858,-0.562826733260068,0.37886568543452437,0.12965392996722103,-0.16639586640519097,-1.151278915979561,0.16209137390310183,-0.8896497898771202,-0.9491141470532809
71,71,20187.0,20619.0,20187.0,20423.0,57570,2007-04-02,432.0,-236.0,-1.8305084745762712,21130.0,21444.0,22072.0,23172.0,3.0,3.0,3.0,3.0,404402.2380951571,798511.5384614854,2004469.0476190306,2822340.152116393,20871.714285714286,21486.0,22308.04761904762,22926.678571428572,635.9262835385538,893.594728308916,1415.792727633191,1679.9821880354546,0.04742622495835606,-0.020684398475470066,0.09626226761848793,-0.05364266638036555,-1.5207075473936817,-0.9517599162805066,-1.1012703722617538,-1.014702262826285
72,72,19637.0,19637.0,19598.0,19637.0,64900,2007-04-03,39.0,0.0,inf,20423.0,21228.0,21797.0,22740.0,1.0,1.0,1.0,1.0,404710.8095237331,878649.8021977507,1948166.8571428363,3159063.7936507855,20563.14285714286,21261.571428571428,22055.571428571428,22772.35714285714,636.1688529971686,937.3632178604784,1395.767479612144,1777.375535347211,-0.1529017646721202,-0.08702851717017482,-0.05029126208431009,-0.024744139596913933,-1.7198160038289898,-0.7115237043043752,-1.2181245961391656,-1.0177792616815589
73,73,19637.0,20187.0,19637.0,20187.0,23700,2007-04-04,550.0,-550.0,-1.0,20187.0,21169.0,21797.0,22701.0,4.0,4.0,4.0,4.0,334164.5714284965,944857.1043955536,1954142.6904761668,3335747.1150793573,20417.285714285714,21157.785714285714,21887.238095238095,22637.678571428572,578.069694265749,972.0376044143321,1397.9065385340205,1826.402780078742,0.49398353367181064,0.1706460095814291,0.1256417347357532,0.0918339418002755,-0.7266184428895116,-0.9644165953009678,-1.196745479543954,-1.0916242294342549
74,74,20344.0,20344.0,20187.0,20226.0,50520,2007-04-05,157.0,118.0,1.3305084745762712,20226.0,21071.0,21640.0,22386.5,4.0,5.0,5.0,5.0,328032.28571421077,794793.230769181,1844564.0619047354,3288101.9298941726,20428.428571428572,20981.0,21709.52380952381,22462.321428571428,572.7410284886274,891.5117670391014,1358.1472902099888,1813.3124192742332,0.4417347098282971,0.3570884222611534,0.2764646349817656,0.2091306027907858,-0.6423660155799802,-0.7201357596477056,-1.0900542866971612,-1.0235967444926635
75,75,19755.0,20030.0,19755.0,20030.0,38880,2007-04-06,275.0,-275.0,-1.0,20226.0,20717.5,21248.0,21934.5,2.0,2.0,2.0,2.0,341051.61904754414,597594.1813186331,1783711.5619047333,2963231.432539676,20411.571428571428,20790.214285714286,21541.190476190477,22244.89285714286,583.996249172496,773.0421601171784,1335.556648706723,1721.4039132463001,0.4896951093574692,0.2747978105762283,0.4528864565352944,0.16024055918089547,-0.823296141556478,-1.257401984813598,-0.8549665837012818,-1.2647820600702075
76,76,20030.0,20226.0,20030.0,20226.0,48570,2007-04-09,196.0,-196.0,-1.0,20226.0,20324.5,21208.0,21797.0,4.5,6.5,6.5,6.5,241310.2857142115,476975.32417577744,1638862.5619047307,2840270.194444438,20282.428571428572,20658.35714285714,21382.190476190477,22080.75,491.2334330175538,690.6340016070577,1280.180675492616,1685.3101181813506,1.21415278468295,0.43968166115349794,0.6500236084034058,0.27526723457039703,2.9933905629792137,-1.075383122550311,-0.4424288890724022,-1.1835533427853044
77,77,20226.0,20462.0,20030.0,20462.0,83330,2007-04-10,432.0,-236.0,-1.8305084745762712,20226.0,20324.5,21130.0,21718.5,7.0,9.0,9.0,9.0,76587.14285706873,468658.84065929434,1320360.3142856811,2760091.284391528,20170.14285714286,20619.071428571428,21215.714285714286,21948.89285714286,276.74382171435866,684.5866202748155,1149.0693252740155,1661.3522457298236,-1.2430437426741592,0.6380365146452168,0.7319235954308767,0.4299128690059957,1.9626492206294828,-0.8159869477830037,-0.1147242230084438,-1.014450761620147
